"Item","Món hàng"
"Discount","Giảm giá"
"Tax","Thuế"
"Subtotal","Tổng giá sản phẩm"
"Payment","Thanh toán"
"Shipping","Giao hàng"
"Discount","Giảm giá"
"No Shipping","Không có phương thức giao hàng"
"No Payment","Không có phương thức thanh toán"
"No Discount","Không có giảm giá"
"Product Options","Các tùy chọn cho sản phẩm"
"Report","Báo cáo"
"Order List","Danh sách đơn hàng"
"Staff","Nhân Viên"
"Warehouse","Kho hàng"
"Cash Drawer","Khay đựng tiền"
"Setting","Thiết lập"
"Logout","Thoát"
"Manual Reload","Tải dữ liệu mới"
"Flush Local Cache","Xóa dữ liệu cũ"
"Pending Orders"," đơn hàng chờ xử lý"
"Online","Online"
"Default","Mặc định"
"Till","Máy bán hàng"
"Quote","Quote"
"Warning!","Cảnh báo!"
"Please choose default customer in setting!","Hãy chọn khách hàng mặc định trong thiết lập!"
"Create invoice","Tạo hóa đơn"
"Create shipment","Tạo đơn vận chuyển"
"Print Receipt","In hóa đơn"
"Print receipt","In hóa đơn"
"Email","Thư điện tử"
"Comment","Ghi chú"
"Login X-POS","Đăng nhập X-POS"
"Login","Đăng nhập"
"Select category","Chọn danh mục"
"Choose till","Chọn máy bán hàng"
"Please add a till","Hãy thêm mới một máy bán hàng"
"Choose warehouse","Chọn kho"
"Please add, or enable a warehouse","Hãy thêm mới hoặc bật một kho"
"Products","Sản phẩm"
"Qty","Số lượng"
"Price","Giá"
"Total","Tổng"
"No ordered items","Không có sản phẩm nào được chọn"
"Apply Coupon Code","Nhập mã Coupon"
"Remove","Hủy bỏ"
"Apply","Chấp nhận"
"Billing Address","Địa chỉ thanh toán"
"Clear","Clear"
"First Name","Tên"
"Last Name","Họ"
"Street","Đường"
"City","Thành phố"
"State/Province","Quận"
"Please select region, state or province","Hãy chọn khu vực hoặc quận, huyện"
"Region","Khu vực"
"Post Code","Mã bưu điện"
"Telephone","Điện thoại"
"Shipping Address","Địa chỉ thanh toán"
"Same as","Giống như"
"No matching results","Không có kết quả phù hợp"
"Create customer","Tạo khách hàng mới"
"Cancel","Bỏ qua"
"Save","Lưu"
"Search customer","Tìm khách hàng"
"Current Balance","Số dư hiện tại"
"Saved Order List","Danh sách đơn hàng đã lưu"
"Order Detail","Chi tiết đơn hàng"
"Credit Memo","Credit Memo"
"Customer Order List","Danh sách đơn hàng theo khách hàng"
"Transfer money","Chuyển tiền"
"Manual transfer","Chuyển tiền thủ công"
"Amount of money","Số tiền"
"In","Vào"
"Out","Ra"
"Transfer","Chuyển"
"Hide","Ẩn"
